,p,target,word
0,0.9857227768128248,1,happy
1,0.01427722318717515,0,happy
2,0.9724081287721789,1,email
3,0.027591871227821134,0,email
4,0.9815021788578638,1,displaying
5,0.01849782114213625,0,displaying
6,0.9575778011007418,1,view
7,0.04242219889925823,0,view
8,0.9790359431296477,1,in
9,0.0209640568703522,0,in
10,0.9438971409212918,1,browser
11,0.056102859078708156,0,browser
12,0.9844893488106282,1,love
13,0.01551065118937183,0,love
14,0.9770949551775946,1,and
15,0.022905044822405424,0,and
16,0.9870510866213255,1,just
17,0.01294891337867452,0,just
18,0.9867938479931401,1,from
19,0.013206152006859942,0,from
20,0.9989487670088559,1,spoil
21,0.00105123299114413,0,spoil
22,0.9875646158783399,1,most
23,0.01243538412166011,0,most
24,0.9975822903166326,1,woman
25,0.002417709683367297,0,woman
26,0.9820474548224881,1,your
27,0.017952545177511922,0,your
28,0.9770309413333512,1,with
29,0.022969058666648844,0,with
30,0.9764802347456627,1,gift
31,0.023519765254337403,0,gift
32,0.997328474452403,1,pampering
33,0.0026715255475969297,0,pampering
34,0.9777237501436802,1,for
35,0.022276249856319878,0,for
36,0.97768391342035,1,the
37,0.022316086579649994,0,the
38,0.9897736017001771,1,moms
39,0.01022639829982279,0,moms
40,0.9830903807516459,1,they
41,0.01690961924835416,0,they
42,0.9938410587431011,1,present
43,0.006158941256898773,0,present
44,0.9967578607189005,1,slots
45,0.0032421392810994872,0,slots
46,0.9703950294050989,1,on
47,0.029604970594901036,0,on
48,0.982632011414707,1,day
49,0.017367988585292964,0,day
50,0.9746456871532476,1,are
51,0.02535431284675235,0,are
52,0.9870320803404018,1,quick
53,0.012967919659598095,0,quick
54,0.9731218978198175,1,if
55,0.026878102180182457,0,if
56,0.9845329608846541,1,want
57,0.015467039115345858,0,want
58,0.9925393704882179,1,catch
59,0.007460629511782067,0,catch
60,0.9772661465877807,1,of
61,0.022733853412219264,0,of
62,0.9648984474153373,1,last
63,0.035101552584662715,0,last
64,0.9677506051984052,1,call
65,0.032249394801594805,0,call
66,0.9718861589556722,1,or
67,0.02811384104432778,0,or
68,0.9601355865955711,1,online
69,0.039864413404428894,0,online
70,0.9687670962864471,1,schedule
71,0.031232903713552862,0,schedule
72,0.9874361213592854,1,appointment
73,0.012563878640714503,0,appointment
74,0.9879727636671239,1,soon
75,0.01202723633287609,0,soon
76,0.9833642364069201,1,you
77,0.016635763593080048,0,you
78,0.9821477278478852,1,forget
79,0.017852272152114927,0,forget
80,0.9756087763647513,1,treat
81,0.024391223635248697,0,treat
82,0.9804089898582753,1,so
83,0.01959101014172469,0,so
84,0.985790948513074,1,can
85,0.01420905148692592,0,can
86,0.9912018419138751,1,her
87,0.008798158086125026,0,her
88,0.9997449525215987,1,yuan
89,0.0002550474784013069,0,yuan
90,0.9833264345916648,1,help
91,0.01667356540833528,0,help
92,0.9781184224548822,1,have
